category,real_name,alias,title,affiliation,citizenship,date_of_birth,date_of_death,species,gender,status,clearance,comic,game,movie,one_shot,portrayed_by,ser_no,tv_series,voiced_by,web_series
Hero,Antoine Triplett,"Trip, General Jones",Agent of S.H.I.E.L.D.,S.H.I.E.L.D. Garrett's Team (formerly) Coulson's Team (formerly),American,NA,2015,Human,Male,Deceased,Level 6,NA,NA,NA,NA,B.J. Britt,NA,Agents of S.H.I.E.L.D. (18 episodes),NA,NA
Villain,Adolf Hitler,NA,"Führer, Reichskanzler",Nazi Party Sturmabteilung Schutzstaffel Wehrmacht,Austrian Nazi German,NA,NA,Human,Male,Deceased,NA,"Captain America: First Vengeance, Captain America: The First Avenger Adaptation (mentioned)",NA,Iron Man (newspaper)Iron Man 2 (newspaper)Captain America: The First Avenger (mentioned)The Avengers  (footage; deleted scene)Captain America: The Winter Soldier (footage),NA,NA,NA,Agents of S.H.I.E.L.D.*The Inside Man (footage),NA,NA
Hero,Antoine Triplett,"Trip, Playboy, Patriot",NA,S.H.I.E.L.D.,American,NA,NA,Artificial Intelligence,Male,Deceased,NA,NA,NA,NA,NA,B.J. Britt,NA,"Agents of S.H.I.E.L.D. *No Regrets*All the Madame's Men*Farewell, Cruel World!",NA,NA
Villain,Kara Palamas,"Agent 3333Melinda May, May's Evil Twin, Skye, Carla Talbot, Major Meredith Tredwyck, Staff Sergeant Brookton",Agent of S.H.I.E.L.D. (formerly),"S.H.I.E.L.D. (formerly) HYDRA (formerly, brainwashed)",American,NA,"May 9, 2015",Human,Female,Deceased,NA,NA,NA,NA,NA,"Maya Stojan, Ming-Na Wen (disguised)Landall Goolsby (disguised)Chloe Bennet (disguised)Raquel Gardner (disguised)Anna Campbell (disguised)Shannon Mc, Clung (disguised)Murielle Telio (disguised)Raquel Pomplun (disguised)",NA,Agents of S.H.I.E.L.D. (10 episodes),NA,NA
Hero,Ayo,NA,NA,Dora Milaje,Wakandan,NA,NA,Human,Female,Alive,NA,Avengers: Endgame Prelude,NA,"Captain America: Civil War, Black Panther, Avengers: Infinity War",NA,Florence Kasumba,NA,NA,NA,NA
Villain,Ahmed,NA,NA,Ten Rings,Afghan,NA,November 2009[1][2],Human,Male,Deceased,NA,NA,NA,Iron Man,NA,Ahmed Ahmed,NA,NA,NA,NA
Hero,Benjamin Urich,"Ben Urich, Benny, Pain in the Ass, Whore, Woodward and Bernstein",NA,New York Bulletin (formerly),American,NA,February 2015,Human,Male,Deceased,NA,NA,NA,NA,NA,Vondie Curtis-Hall,NA,Daredevil (9 episodes)Cloak & Dagger (mentioned),NA,NA
Villain,Artificially Intelligent Digital Assistant,"Aida, Ophelia, Madame Hydra, Crazy Robot Lady, Kroshka[1]Vanishing Banshee, Sadistic Witch",Director of HYDRA (Framework; formerly),HYDRA (Framework; formerly),NA,December 2016 (First LMD)March 2017 (Second LMD)May 2017 (organic form),"April 13, 2017 (First LMD)May 2017 (Second LMD)May 2017 (organic form)",Life-Model Decoy (formerly),Female,Destroyed (First LMD)Destroyed (Second LMD)Deceased (organic form),NA,NA,NA,NA,NA,Mallory Jansen,NA,Agents of S.H.I.E.L.D. (20 episodes),Amanda Rea,NA
Hero,Blackagar Boltagon,"Black Bolt, Bolt, Mister Quiet Man, Great White, Our Silent Friend, The Silent One, Freak, The One Who Does Not Speak, The Quiet Guy",King of the Inhumans,Inhuman Royal Family,Attilan,NA,NA,Inhuman,Male,Alive,NA,NA,NA,NA,NA,"Anson Mount, Lofton Shaw (young)",NA,Inhumans (8 episodes),NA,NA
Villain,Akihiko,NA,NA,Yakuza,Japanese,NA,Fall 2023,Human,Male,Deceased,NA,NA,NA,Avengers: Endgame,NA,Hiroyuki Sanada,NA,NA,NA,NA
Hero,T'Challa,"Black Panther, His Highness, Your Highness, The Other Guy, New Guy, Son of T'Chaka, Cat Lover, Kumkani[1]Son of a Murderer, Clown","Prince of Wakanda (formerly)Black Panther, King of Wakanda",Golden TribeTribal Council,Wakandan,NA,Spring 2018 (victim of the Snap; resurrected by Hulk in 2023),Human,Male,Alive,NA,"Spider-Man: Homecoming Prelude, Black Panther Prelude, Avengers: Infinity War Prelude, Captain Marvel Prelude (computer screen)Avengers: Endgame Prelude",NA,"Captain America: Civil War, Spider-Man: Homecoming (footage)Black Panther, Avengers: Infinity War, Avengers: Endgame, Spider-Man: Far From Home (picture)Black Panther 2 (unreleased)",NA,"Chadwick Boseman, Ashton Tyler (young)",NA,What If...?,NA,NA
Villain,Albert Rackham,"Son of a Bitch, Smart Son of a Bitch, Smart Dude, Juiced-In Guard",NA,Seagate Prison,American,NA,"August 5, 2013",Human,Male,Deceased,NA,NA,NA,NA,NA,Chance Kelly,NA,Luke Cage (1 episode),NA,NA
Hero,Natalia Alianovna Romanoff[1],"Natasha Romanoff, Black Widow, Nat, Natalie Rushman, The Notary, Master Assassin, Tatiana Sokolova, Alion Vans, Marya Konn, Irina Zlataryova, Audrey, Fräulein[2]Hawley, Auntie Nat, Daughter of Ivan, Lieblich[3]",Agent of S.H.I.E.L.D. (formerly),"Red Room (formerly) KGB (formerly) S.H.I.E.L.D. (formerly)* STRIKE Team: Delta (formerly) Hammer Industries (formerly; undercover) Stark Industries (formerly, undercover) Avengers",Soviet (formerly) Russian (formerly) American,1984,August 2014 (time-traveled from October 2023),Human,Female,Deceased,Level 6 (formerly),"Iron Man: I Am Iron Man! (mentioned)Iron Man 2: Black Widow: Agent of S.H.I.E.L.D.The Avengers Prelude: Fury's Big Week, The Avengers Prelude: Black Widow Strikes, The Avengers: The Avengers Initiative, Iron Man 2 Adaptation, Iron Man 3 Prelude, Thor: The Dark World Prelude, Captain America: The Winter Soldier Infinite Comic, Captain America: Homecoming, The Avengers Adaptation, Avengers: Age of Ultron Prelude - This Scepter'd Isle, Avengers: Operation HYDRACaptain America: Civil War Prelude, Captain America: Road to War, Spider-Man: Homecoming Prelude, Avengers: Infinity War Prelude, Captain Marvel Prelude, Avengers: Endgame Prelude",Iron Man (mentioned)Iron Man 2Captain America: The Winter Soldier - The Official Game,"Iron Man 2The Avengers, Captain America: The Winter Soldier, Avengers: Age of Ultron, Captain America: Civil War, Spider-Man: Homecoming (video footage)Thor: Ragnarok (footage)Avengers: Infinity War, Captain Marvel (mid-credits scene)Avengers: Endgame, Spider-Man: Far From Home (picture)Black Widow (unreleased)",NA,"Scarlett Johansson, Jenny Agutter (disguised)",NA,Agents of S.H.I.E.L.D. (mentioned),"Catherine Campion, Laura Bailey",WHiH Newsfront (footage)Team Thor (drawing)Team Thor: Part 2 (drawing)
Villain,Aldrich Killian,"Mandarin, Blonde With a Big Rack, The Pathology of the Serial Killer, The Manipulation of Western Iconography, Maniac, Visionary","Doctor, CEO of Advanced Idea Mechanics",A.I.M.,American,NA,"December 25, 2012",Human,Male,Deceased,NA,Captain America: Civil War Prelude,Iron Man 3 - The Official Game (as M.O.D.O.K.),Iron Man 3,All Hail the King (mentioned),Guy Pearce,NA,NA,NA,NA
Hero,Eric Brooks,Blade,NA,NA,NA,NA,NA,NA,Male,Alive,NA,NA,NA,Blade (unreleased),NA,Mahershala Ali,NA,NA,NA,NA
Villain,Alexander Goodwin Pierce,Mr. Secretary,"World Security Council Secretary, Undersecretary (formerly)",United States Government (formerly) S.H.I.E.L.D. (formerly) HYDRAWorld Security Council (formerly),American,"August 18, 1936",Winter 2014,Human,Male,Deceased,"Level 10, Alpha","Captain America: Civil War Prelude, Captain America: Civil War Prelude Infinite Comic (mentioned)",NA,"Captain America: The Winter Soldier, Avengers: Endgame",NA,Robert Redford,NA,Agents of S.H.I.E.L.D. (mentioned),NA,WHiH Newsfront (mentioned)
Hero,Barbara Morse,"Bobbi Morse, Mockingbird, Demonic Hell-Beast, Barbie, Bob, Amazon Woman, Detective, Katelin Frayer, Agent Phillips, Bird, Rosetta Stone, Barb, Blonde",Agent of S.H.I.E.L.D. (formerly),"S.H.I.E.L.D. (formerly) HYDRA (formerly, undercover)",American,NA,NA,Human,Female,Alive,Level 6 (formerly),NA,NA,NA,NA,Adrianne Palicki,NA,Agents of S.H.I.E.L.D. (30 episodes),NA,Agents of S.H.I.E.L.D.: Slingshot*Reunion (indirectly mentioned)
Villain,NA,"Alexandra Reid, Angelica Fletcher, Alberta Davis, Abigail King, Audrey Thompson",NA,Order of the Crane Mother (formerly)HandMidland Circle Financial,AmericanK'un-Lunan (formerly),NA,Spring 2016,Human,Female,Deceased,NA,NA,NA,NA,NA,Sigourney Weaver,NA,Iron Fist (mentioned)The Defenders (6 episodes),NA,NA
Hero,Brigid O'Reilly,New York,Detective,NYPD (formerly) NOPD,American,NA,NA,Human,Female,Alive (merged with Mayhem),NA,NA,NA,NA,NA,Emma Lahana,NA,Luke Cage (mentioned)Cloak & Dagger (15 episodes),NA,NA
Villain,Alexi,NA,NA,Hand,NA,NA,NA,Human,Male,Deceased,NA,NA,NA,NA,NA,Solomon Shiv,NA,Iron Fist*Felling Tree with Roots,NA,NA
Hero,Steven Grant Rogers,"Steve Rogers, Captain America, Cap, The First Avenger, The Little Guy, Soldier90-Pound Asthmatic, Mystery Man, American Hero, The Star Spangled Man with a Plan, America's New Hope, Tinker Bell, Chorus Girl, America's Golden Boy, The American, A Simpleton with a Shield, A Kid From Brooklyn, The Hero Who Sacrificed Everything, The World's First Superhero, Capsicle, Laboratory Experiment, The Super Soldier, The Living Legend, Costumed Hero from the 40s, The Man Out of Time, The Sentinel of Liberty, Fossil, The Greatest Soldier in History, Symbol of Courage, Symbol to the Nation, Hero to the World, The World's First Super Soldier, Everyone's Favorite War Hero, The Running Man, Big Guy, The Man On The Bridge, The Old Man, God's Righteous Man, Flag-Waver, The Old Dude with the Shield, War Criminal, Grandpa Frisbee, Vanilla Man, Tired Old Mule, America's Ass, Captain Stevens, Loki, Roscoe",Captain (formerly)Agent of S.H.I.E.L.D. (formerly),United States Army (formerly) United Service Organizations (formerly) United States Department of the Treasury (formerly) SSR (formerly) Howling Commandos (formerly) S.H.I.E.L.D. (formerly) Avengers (formerly),American,"July 4, 1918",NA,Human,Male,Alive,Level 6 (formerly),"Captain America: First Vengeance, The Avengers Prelude: Fury's Big Week, The Avengers Prelude: Black Widow Strikes (computer screen)The Avengers: The Avengers Initiative (flashback)Iron Man 3 Prelude, Thor: The Dark World Prelude, Captain America: The First Avenger Adaptation, Captain America: The Winter Soldier Infinite Comic, Captain America: Homecoming, Agents of S.H.I.E.L.D.: The Chase (mentioned)The Avengers Adaptation, Avengers: Age of Ultron Prelude - This Scepter'd Isle, Avengers: Operation HYDRACaptain America: Civil War Prelude, Captain America: Road to War, Captain America: Civil War Prelude Infinite Comic, Spider-Man: Homecoming Prelude, Avengers: Infinity War Prelude, Ant-Man and the Wasp Prelude (mentioned)Captain Marvel Prelude, Avengers: Endgame Prelude, Spider-Man: Far From Home Prelude (mentioned)",Captain America: Super SoldierCaptain America: The Winter Soldier - The Official Game,"Iron Man 2 (mentioned)Captain America: The First Avenger, The Avengers, Iron Man 3 (mentioned; deleted scene)Thor: The Dark World (illusion)Captain America: The Winter Soldier, Avengers: Age of Ultron, Ant-Man (post-credits scene)Captain America: Civil War, Spider-Man: Homecoming (cameo)Avengers: Infinity War Ant-Man and the Wasp (mentioned)Captain Marvel (mid-credit scene)Avengers: Endgame, Spider-Man: Far From Home (picture)",Agent Carter (flashback),"Chris Evans, Patrick Gorman (old)",987654320,Agents of S.H.I.E.L.D. (mentioned)Agent Carter (flashback)Daredevil (mentioned)Jessica Jones (mentioned)Luke Cage (mentioned)Runaways (figure),Roger Craig Smith,WHiH Newsfront (footage)Team Thor (mentioned)Team Thor: Part 2 (drawing)
Villain,Alflyse,NA,Queen of Svartalfheim,NA,Svartálfar,NA,NA,Dark Elf,Female,Deceased,NA,Captain America & Thor: Avengers!,NA,NA,NA,NA,NA,NA,NA,NA
Hero,Carol Danvers,"Captain Marvel, Avenger, Vers, Auntie Carol, Ace, Janis Joplin, Blockbuster Girl, Starforce Lady, Twinkle Fists, Disaffected Niece, Space Soldier Wearing a Rubber Suit, Raw Soldier, One Woman Security Force, New Girl, Mohawk Lady, The New Avenger",Captain (formerly),United States Air Force (formerly)Starforce (formerly) Avengers (formerly),American Kree Imperial (formerly),NA,NA,Human/Kree Hybrid,Female,Alive,NA,Captain Marvel Prelude (mentioned),NA,"Captain Marvel, Avengers: Endgame, Spider-Man: Far From Home (mentioned)Captain Marvel 2 (unreleased)",NA,"Brie Larson, Mckenna Grace (young)London Fuller (young)",NA,NA,NA,NA
Villain,Alice Hernandez,Al,NA,Goodman University*Geosciences Research Center PRIDE,NA,NA,Late 2007[1],Human,NA,Deceased,NA,NA,NA,NA,NA,Carmen Serano,NA,Runaways (2 episodes),NA,NA
Hero,Chase Stein,"Some Roided-Out Jockstrap, Doc Brown, Jock Jams, Dumb Jock, Lindo, One Direction, Boss' Kid, The Pretty Boy",NA,Atlas Academy (formerly)Runaways (formerly) PRIDE,American,Early 2001[1][2],NA,Human,Male,Alive,NA,NA,NA,NA,NA,"Gregg Sulkin, Connor Falk (young)",NA,Runaways (23 episodes),NA,NA
Villain,Alisa Campbell (maiden name)Alisa Jones,"Laura Patterson, Powered Girlfriend, Monster, Meat Monster, Rage Monster, Leslie Hansen, Les, The Killer, Inmate 46592The Inmate, Crazy Fan, Mummy, Mum",NA,NA,American,Early 1956[1][2],Mid-2017[3][4],Human,Female,Deceased,NA,NA,NA,NA,NA,"Miriam Shor (before accident)Janet Mc, Teer (after accident)",46592,Jessica Jones (12 episodes),NA,NA
Hero,Claire Temple,"Hottie Mc, Burner-Phone, Night Nurse, Sandra Lopez, The Healer, The Nurse",NA,Metro-General Hospital (formerly) Chikara Dojo (formerly),American,NA,NA,Human,Female,Alive,NA,Jessica Jones,NA,NA,NA,Rosario Dawson,NA,Daredevil (8 episodes)Jessica Jones (1 episode)Luke Cage (11 episodes)Iron Fist (6 episodes)The Defenders (6 episodes),NA,NA
Villain,Alisha Whitley,"Ginger Ninjas, Red Heads",NA,NA,American,NA,June 2016,Inhuman,Female,Deceased,NA,NA,NA,NA,NA,Alicia Vela-Bailey,NA,Agents of S.H.I.E.L.D. (6 episodes),NA,NA
Hero,Tyrone Johnson,"Cloak, Ty, Saint Tyrone, Choir Boy, Spy Boy, The Criminal, Ty-Ty, Billy Johnson, Prep School, Baller Ladykiller, Master of Space, Divine Pairing (with Dagger)A Boy Who Moves Like A Shadow, Shadow, Wanted Cop Killer, Protector, Master of Time and Space",NA,St. Sebastian's Preparatory School (formerly),American,February 1999[1]-October 1999[2],NA,Human,Male,Alive,NA,NA,NA,NA,NA,"Aubrey Joseph, Maceo Smedley III (young)",NA,Runaways (unreleased)Cloak & Dagger (20 episodes),NA,NA
Villain,Alistair Fitz,NA,NA,HYDRA,British Scottish,NA,NA,Artificial Intelligence,Male,Deceased,NA,NA,NA,NA,NA,David O'Hara,NA,Agents of S.H.I.E.L.D. (3 episodes),NA,NA
Hero,Colleen Wing,"Master, Sensei, Daughter of the Dragon, Honey, The Little Lady, Miss Thang, Chick with the Sword, Hand Whore, A Disciple of the Hand, Iron Fist","Sensei, The Immortal Iron Fist, Master of the Chikara Dojo (formerly)",Hand (formerly) Chikara DojoBayard Community Center,American Japanese,NA,NA,Human,Female,Alive,NA,NA,NA,NA,NA,Jessica Henwick,NA,Luke Cage (1 episode)Iron Fist (23 episodes)The Defenders (6 episodes),NA,NA
Villain,NA,"Alphonso Mackenzie, Killer Androids (with the other LMDs)",NA,Holden RadcliffeAida S.H.I.E.L.D. (undercover),NA,April 2017,April 2017,Life-Model Decoy,Male (masculine programming and voice),Destroyed,NA,NA,NA,NA,NA,Henry Simmons,NA,Agents of S.H.I.E.L.D.*The Man Behind the Shield*Self Control*Identity and Change (mentioned),NA,NA
Hero,Crystalia Amaquelin,"Crystal, The Princess, God of Thunder",Princess,Inhuman Royal Family,Attilan,NA,NA,Inhuman,Female,Alive,NA,NA,NA,NA,NA,"Isabelle Cornish, Leila Bootsma (young)",NA,Inhumans (8 episodes),NA,NA
Villain,Anatoly Ranskahov,The Smiley Twins (with Vladimir Ranskahov),NA,Russian MafiaVeles Taxi,Russian,NA,2015,Human,Male,Deceased,NA,NA,NA,NA,NA,Gideon Emery,NA,Daredevil (2 episodes),NA,NA
Hero,Tandy Bowen,"Dagger, Waterlogged Pumpkin, Blonde Girl, Crazy White Girl, Jenna Westen, Felicity, Liz, The Scientist, Strangely Aggressive Tiny Girl, Princess, Little Side Piece, Divine Pairing (with Cloak)A Girl Who Looks Like An Angel, Pretty Blonde Girl, Angel, Tandy Frickin' Bowen, Master Thief, Kick-Ass Ballerina, Manipulator of Light, Harbinger of Hope",NA,NA,American,February 1999-February 2000[1],NA,Human,Female,Alive,NA,NA,NA,NA,NA,"Olivia Holt, Rachel Ryals (young)",NA,Runaways (unreleased)Cloak & Dagger (20 episodes),NA,NA
Villain,D. Anderson,NA,NA,Aryan Brotherhood,American,NA,March 2017,Human,Male,Deceased,NA,NA,NA,NA,NA,NA,NA,Agents of S.H.I.E.L.D.*The Ghost,NA,NA
Hero,Daniel Sousa,"Pegleg, Killer, Mr. Auerbach, Danny Boy, Curly, Andy Hardy",Agent of SSR (formerly)Chief of the SSR (formerly),United States Army (formerly) SSR,American,NA,NA,Human,Male,Unknown,NA,NA,NA,NA,NA,Enver Gjokaj,NA,Agent Carter (18 episodes),NA,NA
Villain,Anderson Schultz,"Dad, Billionaire Asshole",NA,Testament Industries,American,NA,May 2018,Human,Male,Deceased,NA,NA,NA,NA,NA,Corbin Bernsen,NA,The Punisher (4 episodes),NA,NA
Hero,Matthew Michael Murdock,"Matt Murdock, Daredevil, Matty, Doc, Mike, Mother Teresa, The Man in the Mask, The Man in Black, The Mask, Black Mask, The Masked IdiotСобака в Маске[1]The Devil of Hell's Kitchen, Sunshine, Heckle and Jeckle (with Foggy Nelson)Devil Man, DRed, Altar Boy, Blind Bastard, Magoo, Akuma-san[2]Saint Matthew, Mutual Friend, The Horny One, The Loyal One, A Blind Man Who Can See, Blind Ninja, Counselor, Devil Boy, The Costume Guy, Pro Bono Lawyer, Blind Lawyer, A Man Without Fear, The Guy in the Mask, Unidentified Assailant, The Devil, Facilitator, Franklin Nelson, Saint Matthew, Hell's Kitchen's Renowned Vigilante, The Hero of Hell's Kitchen, Mr. Daredevil",NA,"Columbia University (formerly)Landman and Zack (formerly) Nelson and Murdock (formerly)Defenders (formerly)Nelson, Murdock and Page",American,NA,NA,Human,Male,Alive,NA,Jessica Jones,NA,NA,NA,"Charlie Cox, Skylar Gaertner (young)",NA,Daredevil (39 episodes)Jessica Jones (mentioned)Luke Cage (mentioned)Iron Fist (mentioned)The Defenders (8 episodes)The Punisher (mentioned),NA,NA
Villain,Andrei Veznikov,NA,NA,Hand,Russian,NA,NA,Human,Male,Alive,NA,NA,NA,NA,NA,Nikita Bogolyubov,NA,Iron Fist*Immortal Emerges from Cave,NA,NA
Hero,Dave,A Getaway Guy Three Wombats (with Luis and Kurt),NA,X-Con Security Consultants,American,NA,NA,Human,Male,Alive,NA,Ant-Man and the Wasp Prelude,NA,"Ant-Man, Ant-Man and the Wasp",NA,T.I.,NA,NA,NA,NA
Villain,Androvich,"General Inhuman, Shadow Muppet","Colonel General, Minister of Defence",KGB (formerly) Russian Armed ForcesMinister of Defence,Soviet (formerly) Russian,NA,March 2016,Inhuman,Male,Deceased,NA,NA,NA,NA,NA,Kristof Konrad,NA,Agents of S.H.I.E.L.D.*Parting Shot*Hot Potato Soup (indirectly mentioned),NA,NA
Hero,Michael Peterson,"Mike Peterson, Mikey, The Hooded Hero, Deathlok, Ticking Time Bomb, Backup, Raging Homicidal Maniac, The Clairvoyant's Super-Soldier Bodyguard, Cyber-Soldier, Bogotá Assassin, The Guy with the Parts, Monster, Cyborg with Rockets in his Arm, S.H.I.E.L.D. Agent with Rockets in His Arm, Perfect Killing Machine",Agent of S.H.I.E.L.D.,"HYDRA (formerly, under coercion)Centipede Project (formerly, under coercion) S.H.I.E.L.D. (formerly)",American,"August 28, 1979",NA,Human (Cyborg),Male,Alive,NA,NA,NA,NA,NA,J. August Richards,NA,Agents of S.H.I.E.L.D. (12 episodes),NA,NA
Villain,Anitolov,NA,NA,NA,NA,NA,NA,Human,Male,In Custody,NA,NA,NA,Ant-Man and the Wasp,NA,Goran Kostić,NA,NA,NA,NA
Hero,Deborah Fields,Debrii,NA,New Warriors,American,NA,NA,Human,Female,Alive,NA,NA,NA,NA,NA,"Kate Comer, Chloe Coleman (young)",NA,New Warriors (unreleased),NA,NA
Villain,Anton Petrov,NA,NA,Government of Russia,Russian,NA,March 2016,Human,Male,Deceased,NA,NA,NA,NA,NA,Ravil Isyanov,NA,Agents of S.H.I.E.L.D.*The Inside Man*Parting Shot,NA,NA
Hero,Deke Shaw,"Genius, Huckleberry, Life-Model Decoy, Einstein, Scrappy-Doo, Sweetie, The Worst, Perfect, A Deke, Kid, Spaceman, Idiot, Bro, Lemons, Canary in a Coal Mine, Squirrel, Damaged Person, Commander, Visionary, Bae, Mystery Man, Mastermind, Talker, Target, Code Yellow, Exhausting, Old Deke, Guy From Future, Motormouth, Tech Billionaire, Man Out Of Time, Wizard, Delight, Work in Progress, Hack, Loser, Nothing, Joke, Cowboy, D",CEOAgent of S.H.I.E.L.D.,True Believers (original timeline; formerly) S.H.I.E.L.D.Deke Shaw's Company,Lighthouse (formerly),2060s (original timeline),NA,Human,Male,Alive,NA,NA,NA,NA,NA,Jeff Ward,NA,Agents of S.H.I.E.L.D. (27 episodes),NA,NA
Villain,Arnim Zola,NA,Doctor,Sturmabteilung (formerly) Schutzstaffel (formerly) HYDRA S.H.I.E.L.D. (undercover),Nazi German (formerly) Swiss American,NA,1972 (physical death) January 2014 (consciousness destroyed),Human,Male,Deceased,NA,"Captain America: First Vengeance, Captain America: The First Avenger Adaptation, Captain America: Civil War Prelude, Avengers: Infinity War Prelude (footage)",Captain America: Super Soldier,"Captain America: The First Avenger, Captain America: The Winter Soldier, Avengers: Endgame (mentioned)",NA,Toby Jones,33327AGNNSLAU.,Agent Carter*Valediction,André Sogliuzzo,NA
