ranking_year,title,ranking,n_viewer,gross_profit_per_viewer,rating,synopsis,producer,director,writer,actress,release_date
2019,DreadOut,11,831150,40000,6,"Jessica (Marsha Aruan), Beni (Irsyadillah), Dian (Susan Sameh), Alex (Ciccio Manassero), Erik (Jefri Nichol), dan Linda (Caitlin Halderman) ingin meningkatkan kepopuleran mereka lewat rekaman petualangan mereka untuk diunggah ke akun social media mereka. Mereka memilih pergi ke sebuah apartemen terbengkalai yang terkenal karena keangkerannya. Linda berhasil membujuk Kang Heri (Mike Lucock), satpam, untuk masuk apartemen. Linda dan kawan-kawan menemukan satu unit apartemen yang diberi tanda batas garis polisi. Terdorong oleh rasa penasaran, mereka mendobrak pintu apartemen tersebut. Saat mereka sedang meneliti kamar tersebut, mereka menemukan sebuah perkamen kuno,yang hanya bias dibaca oleh Linda. Setelah Linda berhasil membaca tulisan dalam perkamen tersebut, mendadak sebuah portal terbuka. Tanpa sengaja Linda dan kawan-kawan telah membuka pintu ke alam gaib dan membuat murka para makhluk supranatural penjaga portal.","Edwin Nazir, Wida Handoyo, Kimo Stamboel, Kwonsik Kim, Yeonu Choi, Justin Kim, Hyerim Oh",Kimo Stamboel,NA,"Caitlin Halderman, Jefri Nichol",2019-01-03
2019,Wedding Agreement,12,820008,40000,2,"Btari Hapsari (Indah Permatasari) tidak menyangka pernikahannya jadi mimpi buruk. Hari pertama tiba di rumah Byantara Wicaksana (Refal Hady), suaminya, Tari langsung dihadapkan pada perjanjian pernikahan yang isinya mengatakan bahwa mereka akan bercerai dalam waktu satu tahun. Bian berencana menikahi Sarah (Aghniny Haque), kekasihnya. Bian melakukan pernikahan hanya demi bakti kepada orangtua. Tari tidak menyerah, ia mencoba mengambil hati Bian. Namun sekuat apa pun Tari mencoba, selalu ada Sarah di antara mereka.","Chand Parwez Servia, Fiaz Servia",Archie Hekagery,"Archie Hekagery, Mia Chuz","Indah Permatasari, Refal Hady, Aghniny Haque",2019-08-08
2019,Si Doel the Movie 2,13,806800,40000,8,"Kabar bahwa suaminya bertemu dengan mantan kekasih dan anak membuat Zaenab (Maudy Koesnaedi) bingung memilih: mempertahankan pernikahannya dengan Doel (Rano Karno), atau merelakannya. Terlebih saat Doel mengatakan bahwa Sarah (Cornelia Agatha) dan Dul (Rey Bong) akan menetap di Jakarta., Zaenab mencoba mencari jawaban atas takdir yang harus ia pilih. Harapan mulai terbuka saat Doel mendapat kabar dari Atun (Suti Karno) bahwa kemungkinan Zaenab tengah mengandung. Penegasan datang saat Sarah datang berkunjung untuk mengungkapkan penyesalan atas apa yang terjadi di masa lalu kepada Maknyak (Aminah Cendrakasih) dan meminta Dul untuk memanggil Zaenab sebagai ibu.",Frederica,Rano Karno,Rano Karno,"Rano Karno, Maudy Koesnaedi, Cornelia Agatha",2019-06-04
2019,Single 2,14,607673,40000,5.5,Ebi menuju usia 30 tahun dan masih single. Menuju usia 30 tahun tanpa pernah pacaran. Menuju usia 30 tahun dan masih sendirian. Sekarang Ebi bertekad sebelum ulang tahunnya yang ke 30 ia harus melepaskan status singlenya. Ia harus punya pacar. Walau Ebi sama sekali tidak tahu bagaimana caranya.,Sunil Soraya,Raditya Dika,"Raditya Dika, Sunil Soraya, Donny Dhirgantoro","Raditya Dika, Annisa Rawles",2019-06-04
2019,Makmum,15,575434,40000,4,"Sosok gaib yang disebut Makmum oleh para penghuni asrama semakin sering mengganggu, sejak Rini (Titi Kamal) menetap kembali di asrama untuk memenuhi permintaan Bu Kinanti (Jajang C Noer) yang kesehatannya terus menurun. Rosa (Reny Yuliana), pemimpin asrama baru, tidak menanggapi ketakutan tiga siswi: Nurul (Tissa Bianni), Nisa (Bianca Hello), Putri (Adila Fitri) yang dilarang keluar asrama selama masa liburan, karena nilai mereka yang jelek. Intensitas kesurupan Putri yang terus meningkat, membuat suasana semakin tidak kondusif. Rini menyadari ada sesuatu yang tidak beres di dalam asrama ini. Ia mencoba membantu para siswi dan berusaha menguak misteri tersebut. Ia tidak sadar bahwa nyawanya terancam.",Dheeraj Kalwani,Hadrah Daeng Ratu,"Alim Sudio, Vidya Talisa Ariestya, Riza Pahlevi","Titi Kamal, Ali Syakieb, Tissa Biani",2019-08-15
2018,Dilan 1990,1,6315664,NA,8.5,"Milea (Vanesha Prescilla) bertemu dengan Dilan (Iqbaal Ramadhan) di sebuah SMA di Bandung tahun 1990, saat Milea pindah dari Jakarta ke Bandung. Perkenalan yang tidak biasa membawa Milea mengenal keunikan Dilan, pintar, baik hati, romantis. Cara Dilan mendekati Milea tidak sama dengan teman-teman lelaki lain, bahkan Beni (Brandon Salim), pacar Milea di Jakarta. Perjalanan hubungan mereka tak selalu mulus. Beni, Anhar (Giulio Perangkan), Kang Adi (Refal Hadi) mewarnai perjalanan itu. Dilan membuat Milea percaya ia bisa tiba di tujuan dengan selamat.",Ody Mulya Hidayat,"Fajar Bustomi, Pidi Baiq","Pidi Baiq, Titien Wattimena","Iqbaal Ramadhan, Vanesha Prescilla",2018-01-25
2018,Suzzanna: Bernapas dalam Kubur,2,3346185,NA,8,"Suzzanna (Luna Maya) dan Satria (Herjunot Ali) sudah menikah selama tujuh tahun tetapi belum dikaruniai anak. Mereka tinggal bersama tiga pembantunya: Mia (Asri Welas), Tohir (Ence Bagus), dan Pak Rojali (Opie Kumis). Kehamilan Suzanna yang ditunggu-tunggu akhirnya terjadi, namun sayangnya bertepatan dengan rencana dinas Satria ke luar negeri. Hal ini dimanfaatkan empat karyawan Satria: Jonal (Verdi Solaiman), Umar (Teuku Rifnu Wikana), Dudun (Alex Abbad), dan Gino (Kiki Narendra), yang menyimpan dendam kepada Satria dan berniat merampok rumah Satria ketika rumahnya sepi. Namun naas, rencana perampokan mereka berubah menjadi pembunuhan Suzanna yang seharusnya pergi bersama tiga pembantunya ternyata pulang sendiri karena kondisi tubuh yang lemah. Panik, mereka lalu mengubur jenazah Suzzanna di belakang rumah. Anehnya, keesokan hari, Suzzanna tetap beraktivitas seperti biasa di rumahnya, seperti tak terjadi apa-apa.",Sunil Soraya,"Rocky Soraya, Anggy Umbara","Bene Dion Rajagukguk, Sunil Soraya, Ferry Lesmana","Luna Maya, Herjunot Ali",2018-11-15
2018,Danur 2: Maddah,3,2572871,NA,5.5,"Risa (Prilly Latuconsina) memiliki 3 sahabat hantu: Peter (Gamaharitz) , William (Alexander Bain) dan Jhansen (Kevin Bzezovski). Risa tinggal bersama adiknya Riri (Sandrina Michelle), yang jengah dengan kemampuan Risa bisa melihat hantu. Apalagi mereka untuk sementara hanya tinggal berdua karena ibunya menemani bapaknya dinas ke luar negeri. Keluarga pamannya, Ahmad (Bucek), baru pindah ke Bandung bersama istrinya, Tina (Sophia Latjuba) dan Angki (Shawn Adrian)  anaknya. Risa dan Riri sering berkunjung bahkan menginap di rumah om Ahmad dan tante Tina. Awalnya, Risa tidak merasa ada yang aneh dengan rumah om Ahmad, namun suatu hari Risa memergoki om Ahmad pergi bersama seorang wanita. Risa hampir tidak percaya bahwa omnya selingkuh, Risa tidak berani bilang ke tante Tina dan memilih menyelidiki sendiri. Setelah itu Angki bercerita bahwa beberapa hal janggal terjadi dan yang paling aneh adalah sikap om Ahmad berubah. Suatu malam Risa diganggu oleh hantu perempuan menyeramkan di rumah itu.",Manoj Punjabi,Awi Suryadi,"Lele Laila, Risa Saraswati",Prilly Latuconsina,2018-03-28
2018,Si Doel the Movie,4,1757653,NA,6,"14 tahun sudah Sarah (Cornelia Agatha) pergi tanpa kabar dan perpisahan yang tidak jelas, Rindu tersimpan dalam hati Doel (Rano Karno) yang sudah berumah tangga dengan Zaenab (Maudy Koesnaedi). Melalui Hans (Adam Jagwani), Sarah meminta Doel datang ke Amsterdam untuk bertemu dengan Dul (Rey Bong), anak hasil pernikahannya dengan Doel. Doel ditemani Mandra (Mandra YS) terbang ke Amsterdam, bertemu dengan Sarah dan anaknya Dul. Doel berada dalam pilihan sulit. Harapan, kerinduan, keresahan dan keihkhlasan menyelimuti tiga insan yang kerap dipermainkan takdir. Pilihan terbaik berada di tangan Doel yang tak mau membohongi dan melukai perasaan siapa pun.",Frederica,Rano Karno,Rano Karno,"Rano Karno, Maudy Koesnaedi, Cornelia Agatha",2018-08-02
2018,Asih,5,1714798,NA,5.5,"Asih (Shareefah Daanish) mengakhiri hidup karena banyaknya kejadian naas yang menimpanya. Dia diusir dari rumah oleh ibu dan bapaknya, karena seorang laki-laki menghamilinya namun lari dari tanggung jawab. Keluarga Asih jelas tidak akan menerima anak Asih yang baru lahir, karena dianggap sebagai aib keluarga. Semua orang kampung mencemooh Asih. Semua itu membuat Asih menjadi gila dan kemudian tega membunuh anaknya. Sehari setelah Asih wafat, Puspita (Citra Kirana) yang sedang hamil besar tinggal tidak jauh dari lokasi tempat Asih mengakhiri hidupnya. Tinggal bersama suaminya, Andi (Darius Sinathrya), dan ibu mertuanya, sekilas keluarga ini tampak bahagia. Namun kejadian kejadian aneh terus menghantui Puspita dan keluarganya. Setelah Puspita melahirkan bayinya, teror Asih semakin menjadi-jadi. Asih menginginkan sesuatu dari bayi yang baru lahir.",Manoj Punjabi,Awi Suryadi,"Lele Laila, Risa Saraswati","Shareefa Daanish, Citra Kirana, Darius Sinathrya",2018-10-11
2018,#Teman tapi Menikah,6,1655829,NA,5,"Semenjak pertama kali bertemu, Ditto (Adipati Dolken) sudah suka setengah mati pada Ayu (Vanesha Prescilla), karena Ayu suka bergaya gahar seperti preman. Selama 11 tahun bersahabat, Ditto selalu gagal keluar dari friendzone. Apapun usahanya, di mata Ayu, Ditto adalah teman makan dan teman curhat semata. Untungnya, kehidupan cinta Ayu yang berliku-liku, memastikan Ditto selalu di dekatnya sebagai tempat curhat. Suatu hari, Ayu bercerita bahwa ia akan menikah dengan pacarnya, seorang pria sempurna luar dan dalam. Ditto harus memilih: menyatakan perasaan atau merelakan cinta pertamanya jadi sahabat seumur hidup.",Frederica,Rako Prijanto,"Johanna Wattimena, Upi, Ayudia Bing Slamet, Ditto Percussion","Adipati Dolken, Vanesha Prescilla",2018-03-28
2018,Milly & Mamet: Ini Bukan Cinta & Rangga,7,1563188,NA,8.5,"Melanjutkan kisah Ada Apa Dengan Cinta 2: Milly & Mamet sedang disibukkan mengurus bayi mereka. Mamet yang punya passion memasak dan sempat bekerja sebagai chef kini bekerja di pabrik milik Papa Milly. Sebuah pilihan yang agak terpaksa, karena kini ia jadi tumpuan keluarga setelah Milly berhenti sebagai bankir untuk fokus membesarkan anak. Suatu hari, Mamet berjumpa dengan Alexandra, teman dekatnya waktu kuliah dulu. Dengan antusias, Alexandra bercerita bahwa ia sudah mendapatkan investor untuk membiayai ide restoran yang dulu pernah mereka khayalkan bersama.","Chand Parwez Servia, Mira Lesmana, Fiaz Servia",Ernest Prakasa,"Ernest Prakasa, Meira Anastasia","Sissy Prescillia, Dennis Adhiswara, Ernest Prakasa, Julie Estelle, Yoshi Sudarso",2018-12-20
2018,Wiro Sableng: Pendekar Kapak Maut Naga Geni 212,8,1552014,NA,8,"Nusantara, abad ke-16. Wiro Sableng (Vino G Bastian), murid pendekar misterius bernama Sinto Gendeng (Ruth Marini), mendapat titah dari gurunya untuk meringkus Mahesa Birawa (Yayan Ruhian), mantan murid Sinto Gendeng yang berkhianat. Dalam perjalanannya mencari Mahesa Birawa, Wiro terlibat dalam petualangan seru bersama dua sahabat barunya Anggini (Sherina Munaf) dan Bujang Gila Tapak Sakti (Fariz Alfarazi). Pada akhirnya Wiro bukan hanya menguak rencana keji Mahesa Birawa, tetapi juga menemukan esensi sejati seorang pendekar.",Sheila Timothy,Angga Dwimas Sasongko,"Sheila Timothy, Tumpal Tampubolon, Seno Gumira Ajidarma, Bastian Tito","Vino G Bastian, Yayan Ruhian, Fariz Alfarazi, Ruth Marini, Marsha Timothy, Sherina Munaf",2018-08-30
2018,Jailangkung 2,9,1498635,NA,3.5,"Sebagai anak paling kecil yang tidak pernah mengenal ibunya, Tasya (Gabriella Quinlynn) merasa kesepian. Tanpa sengaja ia menonton rekaman video lama milik ayahnya, Ferdi (Lukman Sardi), yang pernah berkomunikasi dengan arwah almarhumah istrinya menggunakan Jailangkung. Tasya pun merakit jailangkung sendiri dan memainkannya dengan harapan bisa berkomunikasi dengan almarhumah ibunya. Kejadian ini rupanya membangkitkan berbagai masalah, termasuk arwah pembawa petaka. Bella (Amanda Rawles) dan Rama (Jefri Nichol) bergabung dengan rekan baru mereka, Bram (Naufal Samudra), dalam petualangan sampai ke dasar laut untuk mengalahkan titisan setan yang menguasai Angel (Hannah Al Rasyid) dan membawa pergi Tasya ke tempat gaib.","Sukdev Singh, Wicky V Olindo","Rizal Mantovani, Jose Poernomo","Ve Handoyo, Baskoro Adi Wuryanto","Amanda Rawles, Jefri Nichol, Hannah Al Rashid, Lukman Sardi, Naufal Samudra",2018-06-15
2018,A Man Called Ahok,10,1465145,NA,8,"Ahok (Daniel Mananta) lahir di keluarga Kim Nam (Chew Kin Wah) pengusaha tambang. Bisnisnya tidak lancar karena oknum yang korup. Masalah ini membuat hubungan mereka menjadi dingin. Ahok mengikuti langkah ayahnya, membuka pertambangan di Belitung. Ternyata oknum yang sama membuat usahanya bangkrut. Selain itu, keluarga Ahok juga mengalami kejadian tragis. Dalam kondisi kalut, Ahok mengingat pesan ayahnya untuk menjadi pemimpin dan ia bertekad untuk terjun ke dunia politik.","Emir Hakim, Reza Hidayat, Ilya Sigma",Putrama Tuta,"Putrama Tuta, Ilya Sigma, Dani Jaka Sembada, Rudi Valinka","Daniel Mananta, Chew Kin Wah",2018-11-08
2018,Sabrina,11,1337510,NA,6,"Maira hidup bahagia di pernikahan barunya bersama Aiden, pembuat boneka Sabrina sekaligus pemilik sebuah perusahaan mainan. Tapi Vanya, anak angkat sekaligus keponakan Aiden yang piatu belum bisa menerima kehadiran Maira sebagai ibunya. Vanya belum bisa merelakan kepergian Andini, bundanya yang meninggal.  Suatu hari Vanya melakukan permainan ‘Pensil Charlie’ untuk memanggil bundanya. Kejanggalan-kejanggalan pun mulai terjadi. Boneka Sabrina berpindah tempat sendiri, kotak musik Aba-Aba berbunyi, dan Vanya suka mengobrol sendirian, bahkan sering kali bilang bahwa bundanya telah datang. Maira dan Aiden tak percaya, hingga akhirnya Maira mengalami serentetan kejadian menakutkan dan mereka melihat sendiri sosok Andini. Maira pun memanggil Bu Laras, paranormal yang dulu pernah membantunya. Andini ternyata bukanlah Andini, melainkan iblis keji bernama Baghiah yang menetap di boneka Sabrina dan menginginkan tubuh manusia.",Rocky Soraya,Rocky Soraya,"Riheam Junianti, Fajar Umbara","Luna Maya, Christian Sugiono, Sara Wijayanto, Jeremy Thomas",2018-07-12
2018,Kuntilanak,12,1236000,NA,4.5,Sekelompok anak nekat mengeksplor sebuah rumah terbengkalai demi memenangkan sayembara reality show untuk membuktikan kebenaran adanya Kuntilanak yang suka menculik anak kecil. Petualangan mereka menjadi malapetaka saat Kuntilanak masuk ke dunia manusia melalui sebuah cermin kuno dan memburu mereka sebagai korban baru.,Raam Punjabi,Rizal Mantovani,Alim Sudio,"Sandrinna M Skornicki, Andryan Bima, Ciara Nadine Brosnan, Adlu Fahrezy, Ali Fikry, Aurelie Moeremans, Fero Walandouw",2018-06-15
2018,Sebelum Iblis Menjemput,13,1122187,NA,8.5,"Alfie (Chelsea Islan) hidup dalam kelam: ibunya meninggal dengan misterius. ayahnya, Lesmana (Ray Sahetapy), meninggalkan Alfie dan menikah kembali dengan Laksmi (Karina Suwandi) yang memiliki dua anak yang umurnya sepantaran dengan Alfie. Alfie baru mengetahui bahwa ayahnya yang tadinya sangat kaya jatuh bangkrut dan sekarat dengan penyakit misterius ketika menjenguknya di rumah sakit. Setelah Lesmana meninggal dunia dengan cara tidak wajar, Alfie ingin mengetahui yang sebenarnya terjadi dengan mengunjungi sebuah vila yang selalu Lesmana datangi sebelum sakit. Di tempat tersebut, Alfie bertemu dengan Laksmi dan anaknya dan menerima reaksi yang masing-masing berbeda. Laksmi ingin mempertahankan kehidupan nyaman, sementara Maya (Pevita Pearce) menyalahkan Alfie atas kemalangan mereka, dan Ruben (Samo Rafael) mencoba untuk mengatasi keadaan dengan bantuan pacarnya. Di tempat tersebut, serangkaian aksi yang melibatkan Alfie, Laksmi, Maya dan Ruben memberikan jawaban tentang Lesmana.","Sukdev Singh, Wicky V Olindo",Timo Tjahjanto,Timo Tjahjanto,"Chelsea Islan, Pevita Pearce",2018-08-09
2018,Eiffel… I'm In Love 2,14,1008392,NA,7.5,"14 tahun berlalu. Tita yang dulunya duduk di kelas 1 SMA, sudah menjadi seorang wanita dewasa. Selama 14 tahun pula, Tita dan Adit menjalani LDR. Setiap harinya, hubungan mereka selalu diwarnai pertengkaran. Bahkan Tita mulai gelisah karena Adit tidak kunjung melamarnya, sementara kedua sahabat Tita, Nanda (Shakira Alatas) dan Uni (Saphira Indah), sudah menikah. ",Sunil Soraya,Rizal Mantovani,Donna Rosamayna,"Shandy Aulia, Samuel Rizal",2018-02-14
2018,Yowis Ben,15,935622,NA,8.5,"Bayu (Bayu Skak) menyukai Susan (Cut Meyriska) sejak lama. Karena merasa minder dengan keadaan dirinya yang pas-pasan, Bayu memendam perasaan itu. Keadaan berubah sejak Susan mengirim voice chat ke ponsel Bayu. Ia mengira Susan memberi isyarat agar didekati. Ternyata Susan memanfaatkan Bayu untuk membantunya mensuplai pecel untuk konsumsi teman-teman OSIS. Bayu bertekad membuat dirinya lebih populer dari Roy (Indra Wijaya), pacar Susan, gitaris band sekolah mereka.  Bayu membentuk band bersama Doni (Joshua Suherman), , Yayan (Tutus Thomson), dan Nando (Brandon Salim). Mereka menamakan band mereka Yowis Ben. Saat Yowis Ben tumbuh di dunia musik kota Malang, perpecahan antar personil Yowis Ben mulai tampak.","Chand Parwez Servia, Fiaz Servia","Fajar Nugros, Bayu Skak","Bagus Bramanti, Gea Rexy, Bayu Skak","Bayu Skak, Cut Meyriska, Brandon Salim, Joshua Suherman, Tutus Thomson",2018-02-22
2017,Pengabdi Setan,1,4206103,37000,7.5,"Rini beserta bapak, ibu, dan ketiga adik laki-lakinya terpaksa tinggal di rumah neneknya di luar kota setelah rumah mereka dijual untuk pengobatan ibunya. Ibunya sakit selama tiga setengah tahun tanpa diketahui penyebabnya sehingga keluarganya mengalami krisis finansial. Setelah ibunya meninggal, ayah Rini pergi untuk sebuah pekerjaan. Teror mulai muncul. Sosok hantu perempuan menyerupai ibu mereka menghantui Rini dan adik-adiknya. Rini menemukan fakta bahwa di masa lalu keluarganya terlibat dalam suatu perjanjian hitam yang mengancam keselamatan keluarga mereka. Rini dan adik-adiknya harus membuka misteri masa lalu untuk tetap hidup.",Gope T Samtani,Joko Anwar,"Joko Anwar, Subagio Samtani, Sisworo Gautama, Imam Tantowi, Naryono Prayitno","Tara Basro, Endy Arfian, Nasar Anuz, Adhiyat Abdulkhadir",2017-09-28
